clause_text,risk
"10. LIMITATIONS OF LIABILITY. 10.1 EXCEPT FOR EITHER PARTY'S VIOLATION OF THE CONFIDENTIALITY OBLIGATIONS AND FOR EITHER PARTY'S INDEMNIFICATION OBLIGATIONS, NEITHER PARTY SHALL BE LIABLE UNDER ANY CONTRACT, NEGLIGENCE, STRICT LIABILITY, OR OTHER LEGAL OR EQUITABLE THEORY FOR ANY AMOUNTS IN EXCESS IN THE AGGREGATE OF THE AMOUNT OF THE FEES PAID OR PAYABLE UNDER THIS AGREEMENT. 10.2 EXCEPT FOR EITHER PARTY'S VIOLATION OF THE CONFIDENTIALITY OBLIGATIONS AND FOR EITHER PARTY'S INDEMNIFICATION OBLIGATIONS, IN NO EVENT WILL EITHER PARTY BE LIABLE FOR SPECIAL, INCIDENTAL, CONSEQUENTIAL, INDIRECT OR PUNITIVE DAMAGES, OR LOST PROFITS, REGARDLESS OF WHETHER SUCH LIABILITY IS BASED ON BREACH OF CONTRACT, TORT, STRICT LIABILITY, BREACH OF WARRANTIES, FAILURE OF ESSENTIAL PURPOSE OR OTHERWISE AND EVEN IF ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",Low
"13.2 Limitation of Liability. Except for the parties indemnification obligations under Section 12 and damages arising from a partys breach of its confidentiality obligations under Section 11, in no event shall either party be liable to the other party for any indirect, incidental, consequential, special, or punitive damages, including without limitation, loss of profits, revenue, data, or use, incurred by either party or any third party, whether in an action in contract or tort, even if the other party or any other person has been advised of the possibility of such damages. The aggregate liability of either party for any claim arising out of or relating to this Agreement shall not exceed the total amount paid by Client to Service Provider under this Agreement in the twelve (12) months preceding the event giving rise to such claim.",Low
"Except for third-party claims, Seller shall not be responsible to Buyer for indirect, incidental, consequential, or punitive damages, and Seller shall have no liability for any other types of damages or losses arising from or in connection with the defective PET Products, except as explicitly provided under this Agreement.",Low
"XI. Limitation of Liability TO THE MAXIMUM EXTENT PERMITTED BY LAW, AND EXCEPT FOR DAMAGES OR COSTS (AS DEFINED ABOVE) ARISING FROM OR IN CONNECTION WITH A PARTYS INDEMNIFICATION OBLIGATIONS, NEITHER PARTY WILL BE LIABLE TO THE OTHER PARTY OR ANY THIRD PARTY FOR SPECIAL, INDIRECT, CONSEQUENTIAL, EXEMPLARY OR PUNITIVE DAMAGES OR COSTS ARISING OUT OF OR RELATED TO THE MASTER AGREEMENT, EVEN IF THE PARTIES HAVE KNOWLEDGE OF THE POSSIBILITY OF SUCH DAMAGES OR COSTS AND WHETHER OR NOT SUCH DAMAGES OR COSTS ARE FORESEEABLE. STATUTORY DAMAGES AWARDED UNDER ANY LAW (E.G., INCREASED AWARDS UNDER THE COPYRIGHT ACT, LANHAM ACT. OR PATENT ACT) WILL BE DEEMED TO BE DIRECT AND COMPENSATORY, AND NOT PUNITIVE OR EXEMPLARY DAMAGES.",Low
"FOR PURPOSES OF THE LIMITATIONS OF LIABILITY SET FORTH HEREIN, BROADCOM SHALL INCLUDE BROADCOM, ITS AFFILIATES, SUBSIDIARIES, AND THE DIRECTORS, OFFICERS, EMPLOYEES, AGENTS, REPRESENTATIVES, SUBCONTRACTORS AND SUPPLIERS OF EACH OF THEM. SUBJECT TO APPLICABLE LAW AND NOTWITHSTANDING ANYTHING ELSE IN THESE TERMS, IN NO EVENT WILL BROADCOM, BE LIABLE FOR SPECIAL, INCIDENTAL, INDIRECT OR CONSEQUENTIAL DAMAGES (INCLUDING WITHOUT LIMITATION DOWNTIME COSTS, LOSS OF DATA, RESTORATION COSTS, LOST PROFITS, OR COST OF COVER) REGARDLESS OF WHETHER SUCH CLAIMS ARE BASED ON CONTRACT, TORT, WARRANTY OR ANY OTHER LEGAL THEORY. EXCEPT FOR BROADCOMS OBLIGATION TO MAKE WARRANTY REFUNDS UNDER SECTION 8 (WHICH IS LIMITED TO THE PRODUCT AND/OR APPLICATION SOFTWARE PURCHASE PRICE), AND TO THE EXTENT PERMITTED BY APPLICABLE LAW, BROADCOMS LIABILITY TO CUSTOMER IS LIMITED TO THE LESSER OF (i) THE AMOUNT ACTUALLY PAID BY CUSTOMER TO BROADCOM FOR THE PRODUCT OR APPLICATION SOFTWARE THAT IS THE SUBJECT OF SUCH DAMAGES, OR (ii) ONE HUNDRED THOUSAND UNITED STATES DOLLARS ($100,000.00 USD). MULTIPLE CLAIMS WILL NOT ENLARGE THIS LIMIT. THIS SECTION 10 APPLIES WHETHER OR NOT DAMAGES WERE FORESEEABLE, EVEN IF BROADCOM HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES, AND NOTWITHSTANDING ANY FAILURE OF ESSENTIAL PURPOSE OF ANY EXCLUSIVE REMEDY PROVIDED IN THESE TERMS. THE LIMITATIONS SET FORTH IN THIS SECTION WILL NOT APPLY TO DAMAGES FOR BODILY INJURY OR DEATH PROXIMATELY CAUSED BY BROADCOM, FOR WHICH CUSTOMER HAS THE RIGHT TO PROVEN DIRECT DAMAGES. THE REMEDIES IN THESE TERMS ARE CUSTOMER'S SOLE AND EXCLUSIVE REMEDIES.",Low
"We will not be liable for losses caused directly or indirectly by natural disasters, war, government restrictions, exchange or market rulings, interruptions in trading, interruptions in computer and/or communications services, or other conditions beyond our control. Further, in acting hereunder, you acknowledge and agree that Truist Securities shall not be liable for any loss or other claim of injury with respect to your Account or investments except for its gross negligence or willful misconduct. IN NO EVENT SHALL TRUIST SECURITIES OR ANY OF TRUIST SECURITIES REPRESENTATIVES BE LIABLE FOR ANY SPECIAL, INCIDENTAL, CONSEQUENTIAL OR PUNITIVE DAMAGES UNDER THIS ACCOUNT AGREEMENT OR WITH RESPECT TO YOUR ACCOUNT(S) OR INVESTMENTS (INCLUDING WITHOUT LIMITATION LOSS OF BUSINESS PROFITS OR OPPORTUNITY) AND YOU HEREBY WAIVE ANY RIGHT TO CLAIM OR SEEK ANY SUCH DAMAGES.",Low
"8. Limitation of Liability: EXCEPT FOR SUPPLIERS OBLIGATIONS AND LIABILITIES UNDER ARTICLE 25 DATA PROTECTION, IN NO EVENT SHALL EITHER PARTY BE LIABLE TO THE OTHER FOR INDIRECT, SPECIAL, INCIDENTAL, PUNITIVE OR CONSEQUENTIAL DAMAGES, INCLUDING WITHOUT LIMITATION LOSS OF PROFIT, DATA AND PROGRAMS, WHETHER BASED ON CONTRACT, TORT OR ANY OTHER LEGAL THEORY.",Low
"Limitation of Liability: EXCEPT FOR BODILY INJURY (INCLUDING DEATH) AND DAMAGE TO TANGIBLE PROPERTY MOTOROLA'S TOTAL LIABILITY ARISING OUT OF OR RELATED TO THIS AGREEMENT WHETHER FOR BREACH OF CONTRACT, WARRANTY, MOTOROLA'S NEGLIGENCE, STRICT LIABILITY IN TORT OR OTHERWISE, IS LIMITED TO THE PRICE OF THE PARTICULAR PRODUCT SOLD HEREUNDER WITH RESPECT TO WHICH LOSSES OR DAMAGES ARE CLAIMED. IN NO EVENT WILL MOTOROLA BE LIABLE FOR SPECIAL, INCIDENTAL OR CONSEQUENTIAL DAMAGES EVEN IF MOTOROLA WAS ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",Low
"17. Limitation of liability Except for liability which may not be excluded or limited by applicable law: a. Liability cap. DXCs aggregate liability to Customer for all claims arising under or in connection with a Customer Contract, whether based on contract, indemnity, tort (including negligence), statute, equity or otherwise, is limited to direct damages and shall not exceed the total amount paid and payable by Customer under that Customer Contract during the 12 months before the later of (i) the date of the last event which Customer alleges gave rise to liability, and (ii) the date which is 12 months from the date of the Customer Contract. This clause 17(a) does not limit DXCs indemnity obligations under clause 13 or either partys liability for unauthorized use of IP; death or bodily injury; damage to tangible property; acts of fraud; or wilful repudiation of the Agreement or the applicable Customer Contract. b. Consequential loss. Neither party will be liable for lost revenues or profits, savings, downtime costs, indirect, special or consequential costs or damages. c. Proportional liability. Any liability of a party for loss or damage, however caused (including by negligence), in connection with a Customer Contract is reduced to the extent that the other party or its employees, contractors or agents contribute to the loss or damage.",Low
"LIMITATION ON DIRECT DAMAGES. SUPPLIERS TOTAL LIABILITY AND CENIC AND CENIC MEMBERS SOLE AND EXCLUSIVE REMEDY FOR ANY CLAIM OF ANY TYPE WHATSOEVER ARISING OUT OF THIS AGREEMENT OR A PURCHASE ORDER OR SOW, SHALL BE GOVERNED BY THE LIMITATION OF LIABILITY CLAUSE IN THE APPLICABLE EULA, TOS, OR SOW. b) EXCEPT AS OTHERWISE REQUIRED BY LAW, NEITHER PARTY SHALL BE LIABLE TO THE OTHER FOR ANY, CONSEQUENTIAL, INCIDENTAL, INDIRECT, EXEMPLARY, PUNITIVE OR SPECIAL DAMAGES, INCLUDING WITHOUT LIMITATION, LOSS OF USE OR LOST BUSINESS REVENUE, PROFITS, OR GOODWILL, ARISING IN CONNECTION WITH THIS AGREEMENT, UNDER ANY THEORY OF TORT, CONTRACT, INDEMNITY, WARRANTY, STRICT LIABILITY, OR NEGLIGENCE EVEN IF THE PARTY KNEW OR SHOULD HAVE KNOWN OF THE POSSIBILITY OF SUCH DAMAGES. c) The limitations of liability in this Section will not apply to: (i) CENIC or CENIC Members violation of Suppliers or its licensors intellectual property rights or CENIC Members use of the Products, Services or deliverables in a manner not expressly authorized by the applicable EULA, SOW or TOS; (ii) Suppliers indemnification obligations under this Agreement; (iii) either Partys breach of confidentiality obligations; (iv) any liability which may not be excluded by applicable law.",Low
"Article 5.1 Limitation of Liability: A. THE AGGREGATE LIABILITY OF COMCAST AND ITS AGENTS, SUPPLIERS, AND LICENSORS FOR ANY AND ALL LOSSES, DAMAGES, AND CAUSES OF ACTION ARISING OUT OF THE AGREEMENT, INCLUDING, BUT NOT LIMITED TO, THE PERFORMANCE OF SERVICE, AND NOT OTHERWISE LIMITED HEREUNDER, WHETHER IN CONTRACT, TORT, OR OTHERWISE, SHALL NOT EXCEED DIRECT DAMAGES EQUAL TO THE SUM TOTAL OF PAYMENTS MADE BY CUSTOMER TO COMCAST DURING THE THREE (3) MONTHS IMMEDIATELY PRECEDING THE EVENT FOR WHICH DAMAGES ARE CLAIMED. THIS LIMITATION SHALL NOT APPLY TO INDEMNIFICATION OBLIGATIONS. B. NOTWITHSTANDING ANYTHING TO THE CONTRARY CONTAINED IN THIS AGREEMENT, NEITHER PARTY SHALL BE LIABLE TO THE OTHER FOR ANY INCIDENTAL, INDIRECT, SPECIAL, COVER, PUNITIVE, OR CONSEQUENTIAL DAMAGES, WHETHER OR NOT FORESEEABLE, OF ANY KIND, INCLUDING, BUT NOT LIMITED TO, ANY LOSS OF REVENUE, LOSS OF USE, LOSS OF BUSINESS, OR LOSS OF PROFIT WHETHER SUCH ALLEGED LIABILITY ARISES IN CONTRACT OR TORT; PROVIDED, THAT, THE FOREGOING LIMITATION SHALL NOT LIMIT CUSTOMERS LIABILITY FOR CHARGES OWED FOR THE SERVICES, FOR ANY EQUIPMENT OR SOFTWARE PROVIDED BY COMCAST, OR FOR TERMINATION CHARGES. C. NOTWITHSTANDING ANYTHING TO THE CONTRARY CONTAINED IN THE AGREEMENT, IN NO EVENT SHALL THE AGGREGATE LIABILITY OF COMCAST AND ITS AGENTS, SUPPLIERS, AND LICENSORS UNDER THIS AGREEMENT FOR ALL INDEMNIFICATION OF INTELLECTUAL PROPERTY CLAIMS UNDER SECTION 6(i) OF THESE GENERAL TERMS AND CONDITIONS EXCEED THE GREATER OF (I) ONE (1) MILLION DOLLARS ($1,000,000) AND (II) THE SUM TOTAL OF PAYMENTS MADE BY CUSTOMER DURING THE TWELVE (12) MONTH PERIOD IMMEDIATELY PRECEDING THE DATE ON WHICH THE INTELLECTUAL PROPERTY CLAIM FIRST AROSE.",Low
"ARTICLE 12 LIMITATION OF LIABILITY 12.1 Limitation of Liability. Except for liability for (i) breach of the confidentiality obligations described in Article 14, (ii) misappropriation or infringement by a Party of the other Party's Intellectual Property Rights, or (iii) gross negligence or willful misconduct: (a) IN NO EVENT SHALL A PARTY BE LIABLE FOR ANY PUNITIVE, EXEMPLARY, INDIRECT, INCIDENTAL, SPECIAL, OR CONSEQUENTIAL DAMAGES OR EXPENSES, INCLUDING LOSS OF PROFITS, REVENUE, DATA, OR USE, WHETHER IN AN ACTION IN CONTRACT OR TORT (INCLUDING ERRORS OR OMISSIONS OR BREACH OF WARRANTY), EVEN IF SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES; (b) EACH PARTY'S MAXIMUM LIABILITY FOR ANY DAMAGES FOR BREACH OF THIS AGREEMENT SHALL BE LIMITED TO DIRECT AND ACTUAL DAMAGES. IN NO ONE EVENT SHALL EITHER PARTY'S AGGREGATE LIABILITY FOR DAMAGES OR LOSSES UNDER THIS AGREEMENT EXCEED THE AGGREGATE AMOUNT OF THE PRODUCT PRICES PAID BY BELLICUM FOR THE MILTENYI PRODUCT(S) DURING THE TWELVE (12) MONTH PERIOD IMMEDIATELY PRECEDING THE EVENT GIVING RISE TO SUCH LIABILITY; AND FURTHER PROVIDED THAT SUCH AGGREGATE LIABILITY DURING SUCH PERIOD ALSO SHALL NOT EXCEED THE AMOUNT OF SUCH PARTY'S INSURANCE COVERAGE FOR SUCH AGGREGATE LIABILITY.",Low
"12. Limitation of Liability 12.1 IN NO EVENT SHALL EITHER PARTY BE LIABLE TO THE OTHER PARTY FOR ANY INCIDENTAL, CONSEQUENTIAL, INDIRECT, SPECIAL, OR PUNITIVE DAMAGES (INCLUDING, BUT NOT LIMITED TO, LOST PROFITS, BUSINESS INTERRUPTION, LOSS OF BUSINESS INFORMATION OR OTHER PECUNIARY LOSS) REGARDLESS OF WHETHER SUCH LIABILITY IS BASED ON BREACH OF CONTRACT, TORT (INCLUDING NEGLIGENCE), STRICT LIABILITY, BREACH OF WARRANTIES, FAILURE OF ESSENTIAL PURPOSE OR OTHERWISE AND EVEN IF ADVISED OF THE POSSIBILITY OF SUCH DAMAGES. 12.2 Except with regard to a breach of confidentiality, a party's indemnification obligations hereunder, or infringement of intellectual property rights, either party's total liability to the other party under this Agreement shall be limited to the amounts paid or payable by the Reseller to Todos during the twelve-month period preceding the interposition of the claim.",Low
"9.4 LIMITATIONS ON LIABILITY. EXCEPT FOR LIABILITY ARISING FROM SECTION 9.3 Intellectual Property Infringement, IN NO EVENT SHALL EITHER PARTY BE LIABLE TO THE OTHER FOR ANY INDIRECT, SPECIAL, INCIDENTAL, PUNITIVE OR CONSEQUENTIAL DAMAGES, LOSSES, OR EXPENSES INCLUDING, BUT NOT LIMITED TO, LOSS OF USE, LOSS OF PROFITS, OR LOSS OF GOODWILL, EVEN IF THAT PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH LOSS OR DAMAGE. EXCEPT FOR LIABILITY ARISING FROM SECTION 9.3 Intellectual Property Infringement, IN NO EVENT SHALL EITHER PARTY BE LIABLE UNDER THIS AGREEMENT FOR AN AMOUNT GREATER THAN THE AMOUNT THAT SUCH PARTY HAS EARNED PURSUANT TO THE REVENUE SHARING PROVISIONS OF SECTION 5.4 Share of Net Revenue IN THE TWELVE MONTH PERIOD PRECEDING THE CLAIM",Low
"8.5 Limitation of Liability. NO PARTY WILL BE LIABLE TO THE OTHER PARTY IN TORT, CONTRACT OR UNDER ANY OTHER LEGAL THEORY FOR ANY CONSEQUENTIAL, INDIRECT, INCIDENTAL, PUNITIVE OR SPECIAL LOSS OR DAMAGES ARISING OUT OF THIS AGREEMENT, EVEN IF APPRISED OF THE LIKELIHOOD OF SUCH DAMAGES OCCURRING. IN NO EVENT WILL IMNTV'S LIABILITY TO DISTRIBUTOR UNDER THIS AGREEMENT EXCEED THE AMOUNT ACTUALLY DUE TO IMNTV HEREIN.",Low
"14.0 LIMITATION OF LIABILITY. EXCEPT IN THE EVENT OF A VIOLATION OF SECTION 3 (OWNERSHIP; GRANT OF RIGHTS: TRADEMARKS USAGE), OR FOR EACH PARTY'S OBLIGATIONS UNDER SECTION 11 (INDEMNITY), OR BREACH OF SECTION 12 (CONFIDENTIALITY), UNDER NO CIRCUMSTANCES WILL EITHER PARTY BE LIABLE TO THE OTHER UNDER ANY CONTRACT, STRICT LIABILITY, NEGLIGENCE OR OTHER LEGAL OR EQUITABLE THEORY, FOR ANY INCIDENTAL OR CONSEQUENTIAL DAMAGES OR LOST PROFITS IN CONNECTION WITH THE SUBJECT MATTER OF THIS AGREEMENT. EXCEPT IN THE EVENT OF A VIOLATION OF SECTION 3 (OWNERSHIP; GRANT OF RIGHTS: TRADEMARKS USAGE), OR FOR EACH PARTY'S OBLIGATIONS UNDER SECTION 11 (INDEMNITY), OR BREACH OF SECTION 12 (CONFIDENTIALITY), IN NO EVENT SHALL EITHER PARTY'S TOTAL LIABILITY ARISING OUT OF OR RELATED TO THIS AGREEMENT EXCEED THE AMOUNTS PAID BY SONOS FOR THE PRODUCTS IN THE  PERIOD IMMEDIATELY PRECEDING THE EVENT GIVING RISE TO THE LIABILITY. THIS SECTION DOES NOT LIMIT EITHER PARTY'S LIABILITY FOR PERSONAL INJURY, DEATH, OR DAMAGE TO TANGIBLE PROPERTY.",High
"16.3 Airspan Parties, taken as a whole, shall be liable for physical damage to Distributor's property resulting from Airspan's negligence under or in connection with this Agreement up to a maximum aggregate amount of one million US Dollars (US$1,000,000). And Distributor, taken as a whole, shall be liable for physical damage to Airspan's property resulting from Distributor's negligence under or in connection with this Agreement up to a maximum aggregate amount of one million US Dollars (US$1,000,000). 16.4 Nothing in this Agreement shall exclude or in any way limit Airspan liability for death or personal injury caused by its negligence.",Medium
"A PARTY'S TOTAL LIABILITY TO THE OTHER PARTY IN CONNECTION WITH THIS AGREEMENT, FOR ANY AND ALL CAUSES OF ACTIONS AND CLAIMS, INCLUDING, WITHOUT LIMITATION, BREACH OF CONTRACT, BREACH OF WARRANTY, NEGLIGENCE, STRICT LIABILITY, MISREPRESENTATION AND OTHER TORTS, SHALL BE: (a) FOR BODILY INJURY OR DEATH TO ANY PERSON PROXIMATELY CAUSED BY A PARTY'S NEGLIGENCE, THE AMOUNT OF DIRECT DAMAGES PROVEN; (b) FOR LOSS OR DAMAGE TO REAL PROPERTY OR TANGIBLE PERSONAL PROPERTY PROXIMATELY CAUSED BY A PARTY'S NEGLIGENCE, THE AMOUNT OF DIRECT DAMAGES PROVEN; (c) FOR ANY DAMAGES ARISING OUT OF THE WILLFUL OR INTENTIONAL MISCONDUCT OF A PARTY, THE AMOUNT OF DIRECT DAMAGES PROVEN; (d) FOR ALL OTHER DAMAGES OTHER THAN THOSE SET FORTH ABOVE AND NOT EXCLUDED UNDER THIS AGREEMENT, EACH PARTY'S LIABILITY TO THE OTHER PARTY DURING ANY TWELVE (12) MONTH PERIOD SHALL BE LIMITED TO THE LESSOR OF (i) DIRECT DAMAGES PROVEN BY THE PARTY, OR (ii) THE AMOUNT PAID BY THE COMPANY TO THE PROVIDER UNDER THIS AGREEMENT FOR THE TWELVE (12) MONTH PERIOD PRIOR TO THE CLAIM. The foregoing limitations do not apply to the Company's obligation to pay the Service Fees. THE PROVIDER SHALL NOT BE LIABLE FOR ANY INCIDENTAL OR CONSEQUENTIAL DAMAGES, INCLUDING BUT NOT LIMITED TO LOSS OF REVENUES OR LOSS OF PROFIT, ARISING OUT OF THE PROVISION OF THE SERVICES OR REPAIRS, NOTWITHSTANDING ADVANCE NOTICE FROM THE COMPANY THAT THE POSSIBILITY OF SUCH DAMAGE OR LOSS EXISTS.",High
"6.5 Limitation of Liability: In no event shall either party be liable to the other party for incidental, indirect, special and consequential or punitive damages, including without limitation any claims for damages based upon lost profits or lost business opportunity. Except for the obligation of indemnity as set forth in Section 6.1 (c) with respect to claims by third parties for personal injury, illness or death (but not including property damage) resulting from the manufacture of the Product by BPC, aggregate damages for which ADMA shall be liable to Sanofi Pasteur hereunder, including without limitation costs of Source Plasma yield loss and/or rejected Batches, shall not exceed . All claims by Sanofi Pasteur for breach or default under this Agreement shall be brought within  year after the cause of action comes into existence or otherwise shall be waived. This limitation of liability will not apply for damages that result from the gross negligence or the willful misconduct of a Party.",High
"10.9 EKR Liability Limitation. Any and all liability of EKR to PPI howsoever arising in respect of this Agreement, the Transition Services and Inventory Agreement or the Supply Agreement and their performance in contract tort or otherwise shall be limited (except for death or personal injury caused by the negligence of EKR or its employees while acting in the course of their employment, and except in relation to any specified payment, lump sum, milestone or royalty payment unpaid) to  US Dollars ($); provided however that such limitation shall not apply to the extent that PPI or any PPI Indemnified Party is required to pay in excess of such amount to a third party in respect of a final judgment or order obtained by the third party.",High
"NCC's Liability NCC shall not be liable for any loss caused to the Owner or the Licensee either jointly or severally except for loss of or damage to the Material to the extent that such loss or damage is caused by the negligent acts or omissions of NCC, its employees, agents, or sub-contractors and in such event NCC's total liability in respect of all claims arising under or by virtue of this Agreement shall not (except in the case of claims for personal injury or death) exceed the sum of 500,000. NCC shall in no circumstances be liable to the Owner or the Licensee for indirect or consequential loss of any nature whatsoever whether for loss of profit, loss of business or otherwise.",High
"12. LIMITATION OF LIABILITY 12.1 Without prejudice to the provisions expressly stated elsewhere in this Agreement, a Party's liability for damage suffered by the other Party, attributable to the first mentioned Party or a person for whom it is liable by law, shall be limited to the following events, and the following amounts: a) for direct damage to physical goods (property damage or zaakschade) or directly resulting from death or personal injury: up to a maximum of  per event or series of connected events and up to a further maximum of  for all events (connected or not) in any period of 12 calendar months; b) for damage directly resulting from a material breach of this Agreement: up to a maximum  or  as set out in Appendix 2), whatever amount is the highest, in any period of 12 calendar months. 12.2 In no event shall either Party be liable for indirect or consequential loss or damage, including but not limited to, loss of profit, loss of sales or turnover, loss of or damage to reputation, loss of contract, loss of business, loss of anticipated savings and interest, increased operation costs, increase maintenance costs even if such loss or damage was reasonably foreseeable or if a Party had been advised by the other Party of the possibility of incurring such loss or damage. 12.3 In no event shall any employee of either Party or of an Affiliated Company be liable to the other Party for any act of negligence or intent under or in connection with this Agreement. Save for the limitations in articles 12.1 and 12.2 nothing in the foregoing shall in any way restrict the liability of either Party for the actions of its employees.",High
"8. CONFIDENTIALITY. omitted 12.1 Each Party (Indemnitor) will defend, indemnify and hold the other Party (including associated officers, directors, shareholders, employees, agents and affiliates) (cumulatively, Indemnitee) harmless from and against any and all losses, damages, claims, liabilities and expenses (including reasonable legal fees), suffered or incurred as a result of or in connection with any claim, suit, action, demand, or proceeding brought against Indemnitee based upon (a) a claim of a failure to perform, or a breach by Indemnitor of, any obligation, warranty, representation or covenant in this Agreement; (b) a claim of personal injury or property damage arising out of the fault or negligence of Indemnitor, its representatives, agents, or employees; or (c) a claim of infringement or misappropriation of any patent, trademark, copyright or other proprietary right held by any third party. 12.2 EXCEPTING ONLY CLAIMS MADE PURSUANT TO SECTION 12.1, IN NO EVENT WILL EITHER PARTY BE LIABLE FOR ANY INDIRECT, SPECIAL, INCIDENTAL, EXEMPLARY, PUNITIVE OR CONSEQUENTIAL DAMAGES OF ANY KIND, INCLUDING ANY LOST PROFITS, LOST REVENUES OR LOST SAVINGS, ARISING OUT OF OR IN CONNECTION WITH THIS AGREEMENT AND/OR THE PRODUCTS, WHETHER IN CONTRACT, TORT, STRICT LIABILITY OR OTHERWISE, EVEN IF THE PARTY HAS BEEN ADVISED, KNOWS OR SHOULD KNOW, OR IS OTHERWISE AWARE OF THE POSSIBILITY OF SUCH DAMAGES.",Medium
"22.1 No Party excludes or restricts its liability for death or personal injury resulting from its own negligence. Subject to the preceding sentence, no Party shall be liable to any other Party in contract, tort or otherwise including any liability for negligence for any indirect or consequential loss or damage including, without limitation, corruption or loss of data, loss of profit, loss of anticipated savings all in connection with this Agreement, caused by its own acts or those of any of its auxiliaries, such as employees, servants or agents. Furthermore, no Party shall be liable to any other Party in contract, tort or otherwise for any direct damage unless and to the extent it is based on intent or gross negligence. In no event shall any employee, servant or agent of a Party be liable to another Party for any negligence or intent in connection with this Agreement.",High
Except with respect to any matter for which Anixa is obligated to provide indemnification under Section 8.1. Financial reimbursements claimed according to such indemnification shall not exceed payments received by OntoChem under this contract.,High
"8.2 Limitation of Galaxy Liability Galaxy shall have no liability to Telnet, whether in contract, tort (including negligence), strict liability or otherwise, for any special, indirect or consequential damages or for lost profits, in any matter related to this Agreement, including but not limited to any delay or failure by Galaxy to furnish, deliver or provide Products or Services; Galaxy's liability in any matter related to Product shall be limited to the purchase price paid by Telnet for the Product with respect to which such liability relates; Galaxy's liability in any matter related to Services shall be limited to the fee paid by Telnet for the Service with respect to which the liability relates in the month or months in which the event giving rise to the liability occurred.",Low
"8.2 No Consequential Damages. EXCEPT TO THE EXTENT AWARDED TO A THIRD PARTY IN A JUDGMENT AGAINST WHICH A PARTY IS ENTITLED TO INDEMNIFICATION PURSUANT TO SECTION 7.2 Indemnity, OR TO THE EXTENT ARISING OUT OF ANY BREACH OF SECTION 11.4 Nondisclosure, NEITHER PARTY WILL BE LIABLE (WHETHER IN CONTRACT, WARRANTY, TORT (INCLUDING, BUT NOT LIMITED TO, NEGLIGENCE), PRODUCT LIABILITY OR OTHER THEORY), TO THE OTHER PARTY OR ANY OTHER PERSON OR ENTITY FOR COST OF COVER OR FOR ANY INDIRECT, INCIDENTAL, SPECIAL OR CONSEQUENTIAL DAMAGES (INCLUDING WITHOUT LIMITATION DAMAGES FOR LOSS OF PROFIT, REVENUE, BUSINESS OR DATA) ARISING OUT OF THIS AGREEMENT, EVEN IF SUCH PARTY HAS BEEN ADVISEDOF THE POSSIBILITY OF SUCH COSTS OR DAMAGES. FOR THE AVOIDANCE OF DOUBT, THE PARTIES HEREBY ACKNOWLEDGE AND AGREE THAT NOTHING IN THIS SECTION 8.2 No Consequential Damages IS INTENDED TO LIMIT ANY RIGHT OF ACSI TO RECEIVE LIQUIDATED DAMAGES AS SET FORTH IN SECTION 10.5.2 Effect of Termination. 8.3 Limitation of Damages. EXCEPT FOR LIABILITIES UNDER SECTION 7.2 Indemnity, NEITHER PARTY'S AGGREGATE LIABILITY ARISING OUT OF OR IN CONNECTION WITH THIS AGREEMENT OR THE TRANSACTIONS CONTEMPLATED HEREBY, WHETHER IN CONTRACT, TORT (INCLUDING NEGLIGENCE), WARRANTY OR OTHERWISE, SHALL EXCEED .",Low
"ARTICLE 12 LIMITATION OF LIABILITY 12.1 Limitation of Liability. Except for liability for (i) breach of the confidentiality obligations described in Article 14, (ii) misappropriation or infringement by a Party of the other Party's Intellectual Property Rights, or (iii) gross negligence or willful misconduct: (a) IN NO EVENT SHALL A PARTY BE LIABLE FOR ANY PUNITIVE, EXEMPLARY, INDIRECT, INCIDENTAL, SPECIAL, OR CONSEQUENTIAL DAMAGES OR EXPENSES, INCLUDING LOSS OF PROFITS, REVENUE, DATA, OR USE, WHETHER IN AN ACTION IN CONTRACT OR TORT (INCLUDING ERRORS OR OMISSIONS OR BREACH OF WARRANTY), EVEN IF SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES; (b) EACH PARTY'S MAXIMUM LIABILITY FOR ANY DAMAGES FOR BREACH OF THIS AGREEMENT SHALL BE LIMITED TO DIRECT AND ACTUAL DAMAGES. IN NO ONE EVENT SHALL EITHER PARTY'S AGGREGATE LIABILITY FOR DAMAGES OR LOSSES UNDER THIS AGREEMENT EXCEED THE AGGREGATE AMOUNT OF THE PRODUCT PRICES PAID BY BELLICUM FOR THE MILTENYI PRODUCT(S) DURING THE TWELVE (12) MONTH PERIOD IMMEDIATELY PRECEDING THE EVENT GIVING RISE TO SUCH LIABILITY; AND FURTHER PROVIDED THAT SUCH AGGREGATE LIABILITY DURING SUCH PERIOD ALSO SHALL NOT EXCEED THE AMOUNT OF SUCH PARTY'S INSURANCE COVERAGE FOR SUCH AGGREGATE LIABILITY.",Low
