clause_text,clause_type,risk
Yes,Termination For Convenience,High
Yes,Rofr/Rofo/Rofn,Medium
Yes,Anti-Assignment,High
Yes,Minimum Commitment,Low
Yes,Volume Restriction,Low
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Liquidated Damages,High
TRANSPORTATION CONTRACT,Document Name,Low
"JSC NOC KazakhOil (""Company""); JSC Karakudukmunay (""Principal""); collectively referred to as ""Parties""",Parties,Low
1/3/00,Agreement Date,Low
11/30/04,Expiration Date,Low
successive 12 months,Renewal Term,Low
Republic of Kazakhstan,Governing Law,Low
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Volume Restriction,Low
GAS TRANSPORTATION AGREEMENT,Document Name,Low
"TENNESSEE GAS PIPELINE COMPANY (""Transporter""); LOUISVILLE GAS AND ELECTRIC COMPANY (""Shipper""); Transporter and Shipper shall collectively be referred to herein as the ""Parties"".",Parties,Low
11/1/02,Agreement Date,Low
11/1/02,Effective Date,Low
10/31/12,Expiration Date,Low
Texas,Governing Law,Low
Yes,Anti-Assignment,High
Yes,Minimum Commitment,Low
Yes,Volume Restriction,Low
Collaboration Agreement,Document Name,Low
"MacroGenics, Inc. (""MacroGenics""); Green Cross Corp. (""Green Cross""); MacroGenics and Green Cross (individually as a “Party” or collectively as the “Parties"")",Parties,Low
06/[]/2010,Agreement Date,Low
06/[]/2010,Effective Date,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Ip Ownership Assignment,Low
Yes,Joint Ip Ownership,Low
Yes,License Grant,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Covenant Not To Sue,Low
Cooperation Agreement,Document Name,Low
"Xi'an Zhonghong New Energy Technology Co., Ltd. (""Party A""); Boxing County Chengli Gas Supply Co., Ltd. (""Party B"")",Parties,Low
07/[]/2013,Agreement Date,Low
07/[]/2033,Expiration Date,Low
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,Volume Restriction,Low
Cooperation Agreement,Document Name,Low
"Dazzle Interactive Network Technologies Co., Ltd. (""Party A""); Shenzhen iDreamSky Technology Co., Ltd. (""Party B"")",Parties,Low
1/1/13,Agreement Date,Low
1/1/13,Effective Date,Low
1/1/14,Expiration Date,Low
1 year,Renewal Term,Low
Yes,Non-Compete,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Liquidated Damages,High
Cooperation Agreement (2014 Amendment),Document Name,Low
"Nanjing Tuniu Technology Co., Ltd. (""Party A""); Beijing Tuniu Technology Co., Ltd. (""Party B"")",Parties,Low
1/24/14,Agreement Date,Low
1/24/14,Effective Date,Low
perpetual,Expiration Date,Low
People's Republic of China,Governing Law,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,Ip Ownership Assignment,Low
Yes,Cap On Liability,High
Yes,Liquidated Damages,High
Collaboration Agreement,Document Name,Low
"Didi Chuxing Technology Co., Ltd. (""Party A""); Hunan Ruixi Financial Leasing Co., Ltd (""Party B""); Party A and Party B (individually referred to as a “Party” and collectively as the “Parties”)",Parties,Low
12/17/18,Agreement Date,Low
12/17/18,Effective Date,Low
12/17/19,Expiration Date,Low
China,Governing Law,Low
Yes,Most Favored Nation,Low
Yes,Non-Compete,Medium
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,Post-Termination Services,Medium
Yes,Cap On Liability,High
Yes,Liquidated Damages,High
COLLABORATION AGREEMENT,Document Name,Low
"Ginkgo Bioworks, Inc. (""Ginko""); Berkely Lights, Inc. (""BLI""); Gingko and BLI (""Party"", collectively as the ""Parties"")",Parties,Low
9/13/19,Agreement Date,Low
9/13/19,Effective Date,Low
9/13/26,Expiration Date,Low
Delaware,Governing Law,Low
Yes,Most Favored Nation,Low
Yes,Competitive Restriction Exception,Low
Yes,Non-Compete,Medium
Yes,No-Solicit Of Employees,Medium
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,Volume Restriction,Low
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Affiliate License-Licensor,Low
Yes,Affiliate License-Licensee,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Liquidated Damages,High
Yes,Insurance,High
Yes,Third Party Beneficiary,Low
Intellectual Property Agreement,Document Name,Low
"Marv Enterprises, LLC (""Marv""); Premier Biomedical, Inc. (""Premier""); Technology Health, Inc. (""THI""); (Each shall be referred to as a “Party” and collectively as the “Parties.”)",Parties,Low
5/12/20,Agreement Date,Low
5/12/20,Effective Date,Low
Pennsylvania,Governing Law,Low
Yes,Exclusivity,Medium
Yes,Revenue/Profit Sharing,Low
Yes,License Grant,Low
Yes,Affiliate License-Licensee,Low
Promotion Agreement,Document Name,Low
"MiddleBrook Pharmaceuticals, Inc. (""MBRK""); DoctorDirectory.com, Inc (""DD""); (collectively ""Parties"")",Parties,Low
2/3/10,Agreement Date,Low
2/3/10,Effective Date,Low
2/3/13,Expiration Date,Low
successive 1 year,Renewal Term,Low
North Carolina,Governing Law,Low
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Ip Ownership Assignment,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
Yes,Liquidated Damages,High
PROMOTION AGREEMENT,Document Name,Low
"ASHWORTH, INC. (""Company, ""Ashworth""); JAMES W. NANTZ III (""Nantz""); NANTZ COMMUNICATIONS, INC. (""Nantz Communications"")",Parties,Low
6/1/98,Agreement Date,Low
6/1/98,Effective Date,Low
5/31/01,Expiration Date,Low
California,Governing Law,Low
Yes,Most Favored Nation,Low
Yes,Competitive Restriction Exception,Low
Yes,Exclusivity,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Volume Restriction,Low
Yes,License Grant,Low
Yes,Insurance,High
PROMOTION AGREEMENT,Document Name,Low
"Charity Tunes Inc. (""Charity Tunes""); ConAgra Foods Canada  Inc. (""Sponsor"")",Parties,Low
6/29/09,Agreement Date,Low
"Ontario, Canada",Governing Law,Low
Yes,Exclusivity,Medium
Yes,Anti-Assignment,High
Yes,Volume Restriction,Low
Promotion and Distribution Agreement,Document Name,Low
"Whitesmoke Inc. (""Distributor""); Google Inc (""Google"")",Parties,Low
8/1/11,Effective Date,Low
7/31/13,Expiration Date,Low
England,Governing Law,Low
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,License Grant,Low
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Warranty Duration,Low
Promotion Agreement,Document Name,Low
"Go Call, Inc. (""Go Call""); PageMaster Corporation",Parties,Low
3/12/99,Agreement Date,Low
6/1/99,Effective Date,Low
6/1/00,Expiration Date,Low
1 year,Renewal Term,Low
California,Governing Law,Low
Yes,Exclusivity,Medium
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,Volume Restriction,Low
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
Yes,Covenant Not To Sue,Low
JOINT FILING AGREEMENT,Document Name,Low
"YA II PN, Ltd.; YA Global Investments II (U.S.), Ltd.; Yorkville Advisors Global, LP; Yorkville Advisors Global II, LLC; YAII GP, LP; Yorkville Advisors GP, LLC; D-Beta One EQ, Ltd.; D-Beta One Blocker EQ, Ltd.;
D-Beta One Growth and Opportunity Fund Offshore, LP; D-Beta One GP, LLC; Delta Beta Advisors, LP",Parties,Low
4/8/20,Agreement Date,Low
JOINT VENTURE AGREEMENT,Document Name,Low
"Collectible Concepts Group, Inc. (""CCGI""); Pivotal Self Service Tech, Inc. (""PVSS""); (the ""Parties"" or ""Joint Venturers"" if referred to collectively, or the ""Party"" or Joint Venturer"" if referred to singularly)",Parties,Low
3/1/03,Effective Date,Low
2/28/04,Expiration Date,Low
Pennsylvania,Governing Law,Low
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Audit Rights,Medium
JOINT FILING AGREEMENT,Document Name,Low
"ATHENE ANNUITY AND LIFE COMPANY; ATHENE ANNUITY & LIFE ASSURANCE COMPANY; ATHENE USA CORPORATION; ATHENE LIFE RE LTD.; ATHENE HOLDING LTD.; APOLLO INSURANCE SOLUTIONS GROUP LP; AISG GP LTD.; APOLLO LIFE ASSET, L.P.; APOLLO LIFE ASSET GP, LLC.; APOLLO CAPITAL MANAGEMENT, L.P.; APOLLO CAPITAL MANAGEMENT GP, LLC; APOLLO MANAGEMENT HOLDINGS, L.P.; APOLLO MANAGEMENT HOLDINGS GP, LLC; OMAHA EQUITY AGGREGATOR, L.P.; AP OMAHA ADVISORS, LLC; APOLLO HYBRID VALUE ADVISORS, L.P.; APOLLO HYBRID VALUE CAPITAL MANAGEMENT, LLC; APH HOLDINGS, L.P.; APOLLO PRINCIPAL HOLDINGS III GP, LTD.",Parties,Low
7/6/20,Agreement Date,Low
JOINT FILING AGREEMENT,Document Name,Low
PRAIRIE ECI ACQUIROR LP; PRAIRIE NON-ECI ACQUIROR LP; PRAIRIE VCOC ACQUIROR LP; PRAIRIE SECONDARY ACQUIROR LP; PRAIRIE SECONDARY ACQUIROR E LP; BIP HOLDINGS MANAGER L.L.C.; BLACKSTONE INFRASTRUCTURE ASSOCIATES L.P.; BIA GP L.P.; BIA GP L.L.C.; BLACKSTONE HOLDINGS III L.P.,Parties,Low
2/19/20,Agreement Date,Low
JOINT FILING AGREEMENT,Document Name,Low
"CLARUS IV-A, L.P.; CLARUS IV-B, L.P.; CLARUS IV-C, L.P.; CLARUS IV-D, L.P.; CLARUS IV GP, L.P.; BLACKSTONE CLARUS GP L.P.; BLACKSTONE CLARUS GP L.L.C.; BLACKSTONE HOLDINGS I/II GP L.L.C.; THE BLACKSTONE GROUP INC.; BLACKSTONE GROUP MANAGEMENT L.L.C.",Parties,Low
2/14/20,Agreement Date,Low
Strategic Alliance Agreement,Document Name,Low
"ChipMOS TECHNOLOGIES INC. (""ChipMOS""); Tsinghua Unigroup Ltd. (""Tsinghua Unigroup""); ChipMOS and Tsinghua Unigroup shall collectively be referred to as the “Parties”",Parties,Low
12/11/15,Agreement Date,Low
12/11/18,Expiration Date,Low
Taiwan,Governing Law,Low
Yes,Anti-Assignment,High
Strategic Alliance Agreement,Document Name,Low
"Bravatek Solutions (""Bravatek""); Sibannac Inc. (""COMPANY"")",Parties,Low
11/30/17,Agreement Date,Low
11/30/18,Expiration Date,Low
12 months,Renewal Term,Low
Texas,Governing Law,Low
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
STRATEGIC ALLIANCE AGREEMENT,Document Name,Low
"Hyatt Franchising Latin America, L.L.C. (""Hyatt""); Playa Hotels & Resorts, B.V. (""Playa""); Hyatt and Playa (each a “Party” and collectively as the “Parties”)",Parties,Low
12/14/16,Agreement Date,Low
12/14/16,Effective Date,Low
Illinois,Governing Law,Low
Yes,Rofr/Rofo/Rofn,Medium
Yes,Cap On Liability,High
Cooperation Agreement,Document Name,Low
"VA Partners I, LLC, ValueAct Capital Master Fund, L.P., ValueAct Capital Management, L.P., ValueAct Capital Management, LLC, ValueAct Holdings, L.P. (collectively, the “ValueAct Group”, and individually a “member” of the ValueAct Group); Allison Transmission Holdings, Inc. (the “Company”); Gregory P. Spivy (the “ValueAct Designee”)",Parties,Low
12/12/14,Agreement Date,Low
Delaware,Governing Law,Low
Yes,Non-Disparagement,Low
Yes,Anti-Assignment,High
COLLABORATION AGREEMENT,Document Name,Low
"Xencor, Inc (""XENCOR""); Boehringer Ingelheim International GmbH (""BII""); BII and XENCOR (each a “Party” and collectively “Parties”)",Parties,Low
2/10/12,Agreement Date,Low
2/10/12,Effective Date,Low
New York,Governing Law,Low
Yes,Competitive Restriction Exception,Low
Yes,Exclusivity,Medium
Yes,Rofr/Rofo/Rofn,Medium
Yes,Anti-Assignment,High
Yes,Ip Ownership Assignment,Low
Yes,Joint Ip Ownership,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Affiliate License-Licensee,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Warranty Duration,Low
Yes,Insurance,High
PROMOTION AGREEMENT,Document Name,Low
"Janssen Biotech, Inc. (""Janssen”); Immunomedics, Inc. (""Company"")",Parties,Low
4/5/19,Agreement Date,Low
4/5/19,Effective Date,Low
3/31/20,Expiration Date,Low
New York,Governing Law,Low
Yes,Non-Compete,Medium
Yes,No-Solicit Of Employees,Medium
Yes,Rofr/Rofo/Rofn,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Insurance,High
Yes,Covenant Not To Sue,Low
Joint Venture Agreement,Document Name,Low
"Tate & Lyle Fermentation Products Ltd. (""T&L""); Tate & Lyle PLC; Igene Biotechnology, Inc. (""Igene""); (collectively ""Parties""); (each ""Party"")",Parties,Low
3/18/03,Agreement Date,Low
3/3/03,Effective Date,Low
Delaware,Governing Law,Low
Yes,Most Favored Nation,Low
Yes,Competitive Restriction Exception,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,Rofr/Rofo/Rofn,Medium
Yes,Anti-Assignment,High
Yes,Minimum Commitment,Low
Yes,Ip Ownership Assignment,Low
Yes,Audit Rights,Medium
Yes,Third Party Beneficiary,Low
JOINT FILING AGREEMENT,Document Name,Low
ABP TRUST; ADAM D. PORTNOY,Parties,Low
1/22/20,Agreement Date,Low
JOINT VENTURE AGREEMEN,Document Name,Low
"MJ Syndicated, Inc.; SIMPLY HERBAL; individually and collectively ""JVP""",Parties,Low
11/27/18,Agreement Date,Low
11/27/18,Effective Date,Low
11/30/19,Expiration Date,Low
Florida,Governing Law,Low
Yes,Non-Compete,Medium
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
Yes,Insurance,High
JOINT FILING AGREEMENT,Document Name,Low
"UNIFORM INVESTCO LP; UNIFORM INVESTCO GP LLC; THE VÄRDE FUND VI-A, L.P.; VÄRDE INVESTMENT PARTNERS, L.P.; VÄRDE INVESTMENT PARTNERS (OFFSHORE) MASTER, L.P.; VÄRDE INVESTMENT PARTNERS G.P., LLC; THE VÄRDE SKYWAY MASTER FUND, L.P.;THE VÄRDE SKYWAY FUND G.P., L.P.; THE VÄRDE SKYWAY FUND UGP, LLC; THE VÄRDE FUND XII (MASTER), L.P.; THE VÄRDE FUND XII G.P., L.P.; THE VÄRDE FUND XII UGP, LLC; VÄRDE CREDIT PARTNERS MASTER, L.P.",Parties,Low
2/20/20,Agreement Date,Low
JOINT FILING AGREEMENT,Document Name,Low
VESA EQUITY INVESTMENT S.À R.L.; EP INVESTMENT S.À R.L.;  DANIEL KŘETÍNSKÝ,Parties,Low
5/11/20,Agreement Date,Low
JOINT FILING AGREEMENT,Document Name,Low
"Bank of America Corporatino, Banc of America Preferred Funding Corporation",Parties,Low
4/7/20,Agreement Date,Low
4/7/20,Effective Date,Low
JOINT FILING AGREEMENT,Document Name,Low
"Shelby J. Butterfield (""Co-Trustee"")",Parties,Low
3/27/20,Agreement Date,Low
JOINT FILING STATEMENT,Document Name,Low
"SCULPTOR CAPITAL LP; SCULPTOR CAPITAL HOLDING CORPORATION; SCULPTOR MANAGEMENT, INC.; SCULPTOR MASTER FUND LTD",Parties,Low
4/8/20,Agreement Date,Low
JOINT FILING AGREEMENT,Document Name,Low
"ARES TRADING SA; MERCK SERONO SA COINSINS, SWITZERLAND, AN AFFILIATE OF MERCK KGAA, DARMSTADT, GERMANY; MERCK KGAA DARMSTADT, GERMANY",Parties,Low
JOINT FILING AGREEMENT,Document Name,Low
UBS ONCOLOGY IMPACT FUND L.P.; ONCOLOGY IMPACT FUND (CAYMAN) MANAGEMENT L.P.; MPM ONCOLOGY IMPACT MANAGEMENT LP; MPM ONCOLOGY IMPACT MANAGEMENT GP LLC,Parties,Low
4/7/20,Agreement Date,Low
JOINT FILING AGREEMENT,Document Name,Low
"HPS INVESTMENT PARTNERS, LCC; HPS MEZZANINE PARTNERS II, LLC; HPS MEZZANINE PARTNERS II OFFSHORE GP, L.P.; MEZZANINE PARTNERS - OFFSHORE INVESTMENT MASTER FUND II, L.P.; MEZZANINE PARTNERS II OFFSHORE LUX S.À R.L; MEZZANINE PARTNERS II OFFSHORE LUX S.À R.L II; HPS MEZZANINE PARTNERS II GP, L.P.; MEZZANINE PARTNERS II, L.P.; MEZZANINE PARTNERS II ONSHORE LUX S.À R.L; MEZZANINE PARTNERS II ONSHORE LUX S.À R.L II",Parties,Low
7/6/20,Agreement Date,Low
Promotion Agreement,Document Name,Low
"CNET, Inc. (""CNET""); Cyberian Outpost, Inc. (""Company"")",Parties,Low
1/26/98,Agreement Date,Low
2/1/98,Effective Date,Low
1/26/99,Expiration Date,Low
California,Governing Law,Low
Yes,Competitive Restriction Exception,Low
Yes,Non-Compete,Medium
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,License Grant,Low
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
PROMOTION AGREEMENT,Document Name,Low
"Depomed, Inc. (""Depomed""); King Pharmaceuticals, Inc. (""King""); Depomed and King (individually as a ""party"" and collectively as the ""parties"")",Parties,Low
6/27/06,Agreement Date,Low
6/27/06,Effective Date,Low
6/27/11,Expiration Date,Low
New York,Governing Law,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,Rofr/Rofo/Rofn,Medium
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Affiliate License-Licensee,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
Yes,Insurance,High
Yes,Covenant Not To Sue,Low
INTELLECTUAL PROPERTY AGREEMENT,Document Name,Low
"Visualant Incorporated (""Company""); Kenneth Turpin (""Turpin"")",Parties,Low
6/16/04,Agreement Date,Low
perpetual,Expiration Date,Low
"British Columbia, Canada",Governing Law,Low
Yes,Ip Ownership Assignment,Low
Yes,Affiliate License-Licensee,Low
Yes,Post-Termination Services,Medium
Yes,Covenant Not To Sue,Low
INTELLECTUAL PROPERTY AGREEMENT,Document Name,Low
"WestRock Company (""Parent""); Ingevity Corporation (""SpinCo""); SpinCo and Parent (individually referred to herein as a “Party” and collectively as the “Parties”)",Parties,Low
5/14/16,Agreement Date,Low
Yes,Termination For Convenience,High
Yes,Change Of Control,High
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Affiliate License-Licensor,Low
Yes,Affiliate License-Licensee,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Post-Termination Services,Medium
Yes,Covenant Not To Sue,Low
INTELLECTUAL PROPERTY AGREEMENT,Document Name,Low
"The Babcock and Wilcox Company (""RemainCo""); Babcock and Wilcox Enterprises, Inc. (""SpinCo""); individually as a “Party,” and collectively as the “Parties”",Parties,Low
6/26/15,Agreement Date,Low
6/25/15,Effective Date,Low
Delaware,Governing Law,Low
Yes,Exclusivity,Medium
Yes,Rofr/Rofo/Rofn,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Affiliate License-Licensor,Low
Yes,Affiliate License-Licensee,Low
Yes,Unlimited/All-You-Can-Eat-License,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Post-Termination Services,Medium
Yes,Covenant Not To Sue,Low
"AMENDMENT TO SECTION 2, PART B OF THE CO-BRANDING AGREEMENT",Document Name,Low
"PC Quote, Inc. (""PCQ""); A.B. Watley, Inc. (""ABW"")",Parties,Low
12/9/96,Agreement Date,Low
12/9/96,Effective Date,Low
SECOND AMENDMENT TO CO-BRANDING AGREEMENT,Document Name,Low
"PC QUOTE, INC. (""PCQ""); A.B. Watley, Inc. (""ABW"")",Parties,Low
2/23/98,Agreement Date,Low
2/23/98,Effective Date,Low
CO-BRANDING AGREEMENT,Document Name,Low
"PC QUOTE, INC. (""PCQ""); AB Wately, Inc. and all of its subsidiaries and related companies (""ABW"" )",Parties,Low
10/11/96,Agreement Date,Low
10/11/96,Effective Date,Low
Illinois,Governing Law,Low
Yes,Anti-Assignment,High
Yes,License Grant,Low
Yes,Cap On Liability,High
GUARANTEES OF MASTER FRANCHISE AGREEMENT,Document Name,Low
"Kiosk Concepts, Inc. (""Franchisor""); (""Master Franchisee""); (""Guarantors"")",Parties,Low
Attachment C to Master Franchise Agreement   MULTI-STATE ADDENDUM   CALIFORNIA APPENDIX,Document Name,Low
New York,Governing Law,Low
MASTER FRANCHISE AGREEMENT,Document Name,Low
"Kiosk Concepts Inc. (""we"", ""us"", ""our""); The Grilled Cheese Truck, Inc. (""you"", ""your"", ""Master Franchisee"")",Parties,Low
[]/[]/2015,Agreement Date,Low
[]/[]/2015,Effective Date,Low
[]/[]/2025,Expiration Date,Low
four successive 10 years,Renewal Term,Low
New York,Governing Law,Low
Yes,Competitive Restriction Exception,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,No-Solicit Of Customers,Medium
Yes,No-Solicit Of Employees,Medium
Yes,Non-Disparagement,Low
Yes,Rofr/Rofo/Rofn,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,Volume Restriction,Low
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
Yes,Liquidated Damages,High
Yes,Insurance,High
Yes,Covenant Not To Sue,Low
Yes,Third Party Beneficiary,Low
ADDENDUM REQUIRED BY THE DEPARTMENT OF LAW OF THE STATE OF NEW YORK,Document Name,Low
"KIOSK CONCEPTS, INC.; THE GRILLED CHEESE TRUCK, INC.",Parties,Low
[]/[]/2015,Agreement Date,Low
SERVICES AGREEMENT,Document Name,Low
"FEDERATED INVESTMENT MANAGEMENT COMPANY (""Adviser""); FEDERATED ADVISORY SERVICES COMPANY (""FASC"")",Parties,Low
1/1/04,Agreement Date,Low
1/1/04,Effective Date,Low
perpetual,Renewal Term,Low
Pennsylvania,Governing Law,Low
Yes,Anti-Assignment,High
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
SECOND AMENDMENT TO SERVICES AGREEMENT,Document Name,Low
"FEDERATED INVESTMENT MANAGEMENT COMPANY (""Adviser""); FEDERATED ADVISORY SERVICES COMPANY (""FASC"")",Parties,Low
3/1/16,Agreement Date,Low
3/1/16,Effective Date,Low
Pennsylvania,Governing Law,Low
LIMITED POWER OF ATTORNEY,Document Name,Low
"FEDERATED INVESTMENT MANAGEMENT COMPANY (""Adviser""); FEDERATED ADVISORY SERVICES COMPANY (""FASC"")",Parties,Low
1/1/04,Agreement Date,Low
Pennsylvania,Governing Law,Low
Yes,Anti-Assignment,High
AMENDMENT TO SERVICES AGREEMENT,Document Name,Low
"FEDERATED INVESTMENT MANAGEMENT COMPANY (""Adviser""); FEDERATED ADVISORY SERVICES COMPANY (""FASC"")",Parties,Low
3/30/09,Agreement Date,Low
3/30/09,Effective Date,Low
Pennsylvania,Governing Law,Low
NON COMPETITION AGREEMENT AND RIGHT OF FIRST OFFER,Document Name,Low
"Glamis Gold Ltd. and all of its subsidiaries and other Affiliates (""Glamis""); Western Copper Corporation and all of its subsidiaries and other Affiliates (""Western Copper"")",Parties,Low
5/3/06,Agreement Date,Low
5/3/06,Effective Date,Low
British Columbia,Governing Law,Low
Yes,Non-Compete,Medium
Yes,Rofr/Rofo/Rofn,Medium
COLLABORATION AGREEMENT (“,Document Name,Low
"Theravance, Inc. (""Theravance""); Glaxo Group Limited (""GSK""); (Theravance and GSK, a “Party” or together, the “Parties”)",Parties,Low
11/14/02,Agreement Date,Low
Delaware,Governing Law,Low
Yes,Exclusivity,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,Ip Ownership Assignment,Low
Yes,Joint Ip Ownership,Low
Yes,License Grant,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
Yes,Insurance,High
Collaboration Agreement,Document Name,Low
"F. Hoffmann-La Roche Ltd (""Roche Basel""); Hoffmann-La Roche Inc. (“Roche US”)(Roche Basel and Roche US together referred to as “Roche”); Foundation Medicine, Inc. (""FMI"")",Parties,Low
New York,Governing Law,Low
Yes,Most Favored Nation,Low
Yes,Exclusivity,Medium
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,Minimum Commitment,Low
Yes,Ip Ownership Assignment,Low
Yes,Joint Ip Ownership,Low
Yes,License Grant,Low
Yes,Affiliate License-Licensee,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
JOINT VENTURE AGREEMENT,Document Name,Low
Novo Integrated Sciences Inc. (“NVOS”); Harvest Gold Farms Inc. (“HGF”); NVOS and HGF (collectively as the “Parties” and separately as a “Party”),Parties,Low
12/19/19,Agreement Date,Low
12/19/19,Effective Date,Low
12/19/24,Expiration Date,Low
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
JOINT VENTURE AGREEMENT,Document Name,Low
"AizuFujitsu Semiconductor Limited (“AFSL”); Fujitsu Semiconductor Limited (“FSL”); Transphorm, Inc. (“TPH”); AizuFujitsu Semiconductor Limited, Fujitsu Semiconductor Limited, Transphorm, Inc. (collectively referred to as the “Parties” and individually, a “Party”)",Parties,Low
5/23/17,Agreement Date,Low
Japan,Governing Law,Low
Yes,Rofr/Rofo/Rofn,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Ip Ownership Assignment,Low
Yes,Audit Rights,Medium
JOINT VENTURE CONTRACT,Document Name,Low
"Baoding Fengfan Group Limited Liability Company (""Party A""); Valence Technology, Inc. (""Party B"")",Parties,Low
11/8/02,Agreement Date,Low
People's Republic of China,Governing Law,Low
Yes,Non-Compete,Medium
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,License Grant,Low
Yes,Audit Rights,Medium
Yes,Insurance,High
NON-COMPETITION AGREEMENT AMENDMENT NO. 1,Document Name,Low
"VIVINT SOLAR, INC. (together with its successors and permitted assigns, “VivintSolar”); VIVINT, INC. (together with its successors and permitted assigns “Vivint”) Vivint Solar and Vivint (individually as a “Party”, and collectively as the “Parties”)",Parties,Low
8/16/17,Agreement Date,Low
NON-COMPETITION AND NON-SOLICITATION AGREEMENT,Document Name,Low
